,primaryTitle,startYear,genres,averageRating,adult
0,Sleepover,2007.0,Adult,8.7,1
1,La maison bleue,1992.0,Adult,8.7,1
2,Backdoor Brady's,1995.0,Adult Comedy,8.6,1
3,Phattys Rhymes and Dimes 14,2010.0,Adult,8.6,1
4,The Perversion Mask,2003.0,Adult,8.5,1
5,Start Me Up,2004.0,Adult,8.4,1
6,Every Woman Has a Fantasy,1984.0,Adult Fantasy,8.3,1
7,Stuff Your Face Again,1995.0,Adult,8.3,1
8,Babe,1981.0,Adult Romance,8.3,1
9,Private X-treme 13: A Woman's Ass Is a Beautiful Thing,2004.0,Adult,8.2,1
10,Jenna Ink,1996.0,Adult,8.2,1
11,All for One,1988.0,Adult,8.2,1
12,Black Street Hookers 2,1996.0,Adult Drama,8.1,1
13,Chaude et perverse Emilia,1978.0,Adult Drama,8.1,1
14,Layover,2008.0,Adult,8.1,1
15,Linda Lovelace Meets Miss Jones,1975.0,Adult,8.1,1
16,Crossroads,1999.0,Adult Drama Romance,8.1,1
17,Sex in the Comics,1972.0,Adult Comedy Fantasy,8.0,1
18,Agent 69,1970.0,Adult,8.0,1
19,Private Gold 66: Cadillac Highway,2004.0,Adult,8.0,1
20,Deep Throat the Quest 2: Jail Break/Pussy Auction,1997.0,Adult,7.8,1
21,Hawaiian Blast,1999.0,Adult,7.8,1
22,Sortie de secours,1998.0,Adult,7.8,1
23,Secrets of the Abbey,1993.0,Adult Drama War,7.7,1
24,Where the Boys Aren't VIII,1997.0,Adult,7.7,1
25,Beautiful/Nasty Too,2004.0,Adult,7.7,1
26,Ass Parade 33,2011.0,Adult,7.7,1
27,Angelica,1989.0,Adult Crime Romance,7.7,1
28,The Wives of Others,1978.0,Adult,7.7,1
29,Lesbian Dildo Bondage 2,1990.0,Adult,7.7,1
30,Gums,1976.0,Adult Comedy Fantasy,7.7,1
31,Scrue,1995.0,Adult,7.7,1
32,Official Californication Parody,2010.0,Adult,7.6,1
33,Black Heat,1987.0,Adult,7.6,1
34,Decameron: Tales of Desire,1995.0,Adult,7.6,1
35,Female Body Collection: Stewardess Risa,1998.0,Adult Horror,7.6,1
36,First Offense 5,2004.0,Adult,7.6,1
37,Best of Bi and Beyond,1992.0,Adult,7.6,1
38,Soloerotica 7,2006.0,Adult,7.6,1
39,She's So Cute! #5,2012.0,Adult,7.6,1
40,Batbabe,1995.0,Adult Comedy,7.6,1
41,La voglia,1981.0,Adult,7.6,1
42,Phalo Crest,1987.0,Adult Comedy,7.6,1
43,SexWorld,1978.0,Adult Sci-Fi,7.6,1
44,The Dental Nurses,1975.0,Adult Comedy,7.6,1
45,Wizard of Ahh's,1985.0,Adult Fantasy Sci-Fi,7.5,1
46,Bimbonese 101,1993.0,Adult,7.5,1
47,Bonking Berlin Bastards,2001.0,Adult,7.5,1
48,Captain Hooker & Peter Porn,1987.0,Adult,7.5,1
49,Blue Heaven,1990.0,Adult,7.5,1
50,Anabolic World Sex Tour Volume 13,1997.0,Adult,7.5,1
51,Dream Lovers,1983.0,Adult,7.5,1
52,Happy Ending,1994.0,Adult,7.4,1
53,Bordello: House of the Rising Sun,1985.0,Adult,7.4,1
54,30 maschi per Sandy,1993.0,Adult,7.3,1
55,"Oswalt Kolle: Deine Frau das unbekannte Wesen",1969.0,Adult Drama,7.3,1
56,Lesbian Castle: No Kings Allowed,1994.0,Adult,7.3,1
57,Black Taboo 2,1986.0,Adult,7.3,1
58,Introductions,1976.0,Adult,7.2,1
59,A Girl's Affair 6,1995.0,Adult,7.2,1
60,Rio Lust,1998.0,Adult,7.2,1
61,Wild Things,1985.0,Adult Comedy,7.2,1
62,Checkmate,1995.0,Adult Adventure Drama,7.2,1
63,Napoli,2000.0,Adult Crime,7.2,1
64,Gang Bang Anals,2003.0,Adult,7.2,1
65,Babes Illustrated 3,1995.0,Adult,7.1,1
66,Lust & Betrayal,2001.0,Adult Romance,7.1,1
67,Malibu Spice,1992.0,Adult,7.1,1
68,A Wolf's Tail,2001.0,Adult Adventure Fantasy,7.1,1
69,Dr. Bizarro,1983.0,Adult Comedy,7.1,1
70,Blow-Off!,1987.0,Adult Mystery Thriller,7.1,1
71,Zara's Revenge,1991.0,Adult Fantasy,7.1,1
72,Assault That Ass 5,2004.0,Adult,7.0,1
73,House Arrest,1996.0,Adult Comedy,7.0,1
74,All I Want for Christmas Is a Gang Bang,1994.0,Adult,7.0,1
75,The Weirdos and the Oddballs,1971.0,Adult,7.0,1
76,Juicy Sex Scandals,1991.0,Adult,7.0,1
77,Blow by Blow,1986.0,Adult,7.0,1
78,Kolbenfresser,2004.0,Adult,7.0,1
79,Flash,1981.0,Action Adult Crime,7.0,1
80,Bone Alone,1994.0,Adult,7.0,1
81,Gape Lovers 3,2008.0,Adult,7.0,1
82,Cours privés,2002.0,Adult,6.9,1
83,"Playboy: No Boys Allowed 100% Girls 2",2004.0,Adult Documentary,6.9,1
84,The Gangbang 2000,2000.0,Adult,6.9,1
85,Indian Lady,1981.0,Adult,6.9,1
86,The Red Garter,1986.0,Adult Drama,6.9,1
87,Stalker,2005.0,Adult Drama Thriller,6.9,1
88,Sunny Days,1980.0,Adult,6.9,1
89,The Beaverly Hillbillies,1993.0,Adult,6.9,1
90,Princess of the Night,1990.0,Adult Fantasy Horror,6.9,1
91,Hot Girls in Love,1984.0,Adult,6.9,1
92,Slut Woman,1998.0,Adult,6.9,1
93,Tits a Wonderful Life,1994.0,Adult,6.8,1
94,Billy's Tale,1996.0,Adult,6.8,1
95,Girls of the Double D 7,1987.0,Adult,6.8,1
96,The Diary of Casanova,1993.0,Adult Drama Romance,6.8,1
97,Private Film 16: Cannes Fantasies,1994.0,Adult,6.7,1
98,Virginia,1983.0,Adult Drama,6.7,1
99,Christy Canyon X-Posed 3,1990.0,Adult,6.7,1
100,Body Music: Part II,1990.0,Adult,6.7,1
101,Night Trips II,1990.0,Adult Fantasy,6.7,1
102,Born to Burn,1988.0,Adult,6.7,1
103,Fresh Outta High School 22,2012.0,Adult,6.7,1
104,Anal Persuasion,1994.0,Adult,6.7,1
105,Full Moon Fever,1994.0,Adult Romance,6.6,1
106,100% Blowjobs 10,2003.0,Adult,6.6,1
107,Sex Fever,2003.0,Adult,6.6,1
108,Wet Event,1993.0,Adult,6.6,1
109,Safari City,1999.0,Adult,6.5,1
110,White Slavers,1974.0,Adult Crime,6.5,1
111,The Sleazy Detective,1988.0,Adult,6.5,1
112,Passages 1,1991.0,Adult,6.5,1
113,Blue Bayou,1993.0,Adult Drama Fantasy,6.5,1
114,Blowin' the Whistle,1987.0,Adult,6.5,1
115,Caught from Behind 9,1988.0,Adult,6.5,1
116,A Woman Scorned,1995.0,Adult,6.5,1
117,Executive Sweets,1979.0,Adult Short,6.4,1
118,Babewatch 6,1998.0,Adult,6.4,1
119,Private Film 13: Virgin Treasures 2,1994.0,Adult,6.4,1
120,The Secret Garden Part II,1992.0,Adult Drama Fantasy,6.4,1
121,Date from Hell,1998.0,Adult Comedy Drama,6.4,1
122,The Adventures of Buttgirl and Wonder Wench,1991.0,Adult,6.4,1
123,Les délices du tossing,1983.0,Adult,6.4,1
124,Melanie's Hot Line,1975.0,Adult,6.4,1
125,Teaser,1986.0,Adult,6.4,1
126,Breast Stroke 2,1989.0,Adult,6.4,1
127,Bondage Stories 6,2006.0,Adult Adventure,6.3,1
128,UninhiBIted,1989.0,Adult,6.3,1
129,Way of the Dragon,2005.0,Adult,6.3,1
130,Fast Times at Deep Crack High 4,2001.0,Adult,6.3,1
131,Aroused 2,1995.0,Adult,6.3,1
132,Lust & Desire,1996.0,Adult,6.3,1
133,World's Biggest Gang Bang 2,1996.0,Adult,6.3,1
134,Blue Movie,1989.0,Adult,6.3,1
135,Heiss am Stiel,1989.0,Adult,6.3,1
136,The Blonde & the Beautiful,1993.0,Adult,6.3,1
137,Looking for Mr. Goodsex,1985.0,Adult Drama,6.3,1
138,High School Memories,1981.0,Adult Comedy Drama,6.3,1
139,Ninja CPA,1993.0,Adult,6.3,1
140,Black Angel,1987.0,Adult,6.2,1
141,London's Sorority House,2002.0,Adult,6.2,1
142,ManWatcher,1998.0,Adult,6.2,1
143,I'm No Virgin,1971.0,Adult Drama,6.1,1
144,American Bukkake 25,2004.0,Adult,6.1,1
145,The Black Detail 2,1994.0,Adult Mystery Romance,6.1,1
146,Tracie Lords,1984.0,Adult,6.1,1
147,Lipstick,2000.0,Adult Mystery Romance,6.1,1
148,Jezebel,1979.0,Adult Drama Fantasy,6.1,1
