,primaryTitle,startYear,genres,averageRating
444,Doc Martin,2004,Comedy Drama Romance,8.3
445,Insecure,2016,Comedy Romance,7.9
446,Venus,2006,Comedy Drama Romance,7.1
447,Hope and Glory,1987,Comedy Drama Romance,7.3
448,The Lovers on the Bridge,1991,Drama Romance,7.6
449,The Road Home,1999,Drama History Romance,7.8
450,Get Real,1998,Comedy Drama Romance,7.5
451,Coming Home,1978,Drama Romance War,7.3
452,Snow Cake,2006,Drama Romance,7.5
453,Copenhagen,2014,Adventure Drama Romance,7.1
454,The Secret Life of Words,2005,Drama Romance,7.5
455,Climates,2006,Drama Romance,7.2
456,Ten Inch Hero,2007,Comedy Drama Romance,7.4
457,Time,2006,Drama Mystery Romance,7.2
458,Selfie,2014,Comedy Romance,7.2
459,Deutschland 83,2015,Drama Romance Thriller,8.1
460,Roja,1992,Drama Romance Thriller,8.2
461,Mother and Child,2009,Drama Romance,7.2
462,Hush Hush,1975,Comedy Drama Romance,8.3
463,Loose Cannons,2010,Comedy Drama Romance,7.3
464,Bandish Bandits,2020,Drama Romance,8.6
465,Nicholas Nickleby,2002,Adventure Drama Romance,7.1
466,Moscow Does Not Believe in Tears,1980,Comedy Drama Romance,8.1
467,Forbidden Love,2008,Drama Romance,7.4
468,Sairat,2016,Drama Romance,8.3
469,Bombay,1995,Drama Musical Romance,8.1
470,Degrassi: The Next Generation,2001,Drama Romance,7.3
471,Life in a Metro,2007,Comedy Drama Romance,7.4
472,My King,2015,Drama Romance,7.1
473,Soldier of Orange,1977,Drama Romance Thriller,7.7
474,"Ironiya sudby, ili S legkim parom!",1975,Comedy Romance,8.1
475,The Night Shift,2014,Drama Romance,7.4
476,Last Life in the Universe,2003,Comedy Drama Romance,7.5
477,The Bow,2005,Drama Romance,7.1
478,Facing Windows,2003,Drama Romance,7.3
479,Holding the Man,2015,Biography Drama Romance,7.4
480,Sense & Sensibility,2008,Drama Romance,8.0
481,Battle for Sevastopol,2015,Biography Drama Romance,7.1
482,Crash Landing on You,2019,Comedy Romance,8.7
483,Palm Trees in the Snow,2015,Drama Romance,7.4
484,The Miracle,2015,Comedy Drama Romance,7.6
485,Bella,2006,Drama Romance,7.2
486,The Wings of the Dove,1997,Drama Romance,7.1
487,From Doom Till Doom,1988,Drama Musical Romance,7.5
488,The Catch,2016,Crime Drama Romance,7.2
489,Barefoot,2005,Comedy Drama Romance,7.2
490,Saving Face,2004,Comedy Drama Romance,7.4
491,Lost in Austen,2008,Drama Fantasy Romance,7.4
492,The Wanderers,1979,Crime Drama Romance,7.4
493,Geetha Govindam,2018,Drama Romance,7.7
494,Cholera Street,1997,Crime Drama Romance,7.7
495,Dallas,2012,Drama Romance,7.1
496,Johnny Stecchino,1991,Comedy Crime Romance,7.2
497,Samantha Who?,2007,Comedy Mystery Romance,7.3
498,Turkish Delight,1973,Drama Romance,7.1
499,Gadar: Ek Prem Katha,2001,Action Drama Romance,7.2
500,Ishqiya,2010,Comedy Drama Romance,7.3
501,Fireworks Wednesday,2006,Drama Mystery Romance,7.7
502,Vaaranam Aayiram,2008,Drama Musical Romance,8.1
503,When Calls the Heart,2014,Drama Romance,8.2
504,Metropolitan,1990,Comedy Drama Romance,7.4
505,Open Hearts,2002,Drama Romance,7.5
506,Eye of the Needle,1981,Romance Thriller War,7.1
507,"North & South: Book 1, North & South",1985,Drama History Romance,8.1
508,Sanam Teri Kasam,2016,Drama Musical Romance,7.3
509,Champion,2018,Biography Drama Romance,8.3
510,Belle Epoque,1992,Comedy Drama Romance,7.1
511,Happy Accidents,2000,Comedy Romance,7.2
512,La Belle Époque,2019,Comedy Drama Romance,7.4
513,Man Seeking Woman,2015,Comedy Fantasy Romance,7.7
514,Parade's End,2012,Action Drama Romance,7.6
515,Avanti!,1972,Comedy Romance,7.2
516,Abbas in Flower,1982,Comedy Drama Romance,8.1
517,Last Night,1998,Comedy Drama Romance,7.1
518,Indochine,1992,Drama Romance War,7.1
519,You Are the Apple of My Eye,2011,Comedy Drama Romance,7.6
520,Ramy,2019,Comedy Drama Romance,8.0
521,Survive Style 5+,2004,Fantasy Mystery Romance,7.6
522,Thou Gild'st the Even,2013,Drama Fantasy Romance,7.9
523,A Small September Affair,2014,Drama Mystery Romance,7.2
524,Love Songs,2007,Drama Musical Romance,7.1
525,Bread and Tulips,2000,Comedy Romance,7.3
526,La Femme Nikita,1997,Action Drama Romance,7.5
527,The White Princess,2017,Drama History Romance,7.6
528,The Hairdresser's Husband,1990,Comedy Drama Romance,7.2
529,Day of the Wacko,2002,Comedy Drama Romance,8.1
530,Journeyman,2007,Fantasy Romance Sci-Fi,8.0
531,The Taste of Others,2000,Comedy Drama Romance,7.2
532,Un Coeur en Hiver,1992,Drama Music Romance,7.6
533,Vagabond,1985,Drama Romance,7.7
534,Fi,2017,Drama Romance,7.9
535,And Then We Danced,2019,Drama Romance,7.8
536,The Married Woman,2005,Drama Musical Romance,7.2
537,Boys Over Flowers,2009,Comedy Drama Romance,7.9
538,84 Charing Cross Road,1987,Biography Drama Romance,7.4
539,Whisper If I Forget,2014,Drama Music Romance,7.5
540,The Black Balloon,2008,Drama Romance,7.2
541,The War at Home,2005,Comedy Romance,7.5
542,Anne of Avonlea,1987,Drama Family Romance,8.4
543,The Ignorant Fairies,2001,Drama Romance,7.3
544,Kumbalangi Nights,2019,Comedy Drama Romance,8.6
545,Little Dorrit,2008,Drama Mystery Romance,8.2
546,Bommarillu,2006,Comedy Drama Romance,8.2
547,The Bitter Tears of Petra von Kant,1972,Drama Romance,7.7
548,Simple Simon,2010,Comedy Drama Romance,7.1
549,Okkadu,2003,Action Romance Sport,8.0
550,Wuthering Heights,2009,Drama Romance,7.6
551,North Sea Texas,2011,Drama Romance,7.1
552,Voices of a Distant Star,2002,Animation Drama Romance,7.2
553,Dogfight,1991,Comedy Drama Romance,7.4
554,The Classic,2003,Drama Romance,7.8
555,Made in Heaven,2019,Drama Romance,8.3
556,Liza the Fox-Fairy,2015,Comedy Fantasy Romance,7.6
557,Always,2011,Action Drama Romance,7.8
558,Oasis,2002,Drama Romance,7.9
559,Trick,1999,Comedy Music Romance,7.1
560,The Third Half,2012,Drama History Romance,7.7
561,Office Romance,1977,Comedy Drama Romance,8.3
562,Il Mare,2000,Drama Fantasy Romance,7.6
563,We Are Not Angels,1992,Comedy Fantasy Romance,8.4
564,A Million Little Things,2018,Comedy Drama Romance,7.9
565,The Thorn Birds,1983,Drama Romance,7.9
566,About a Boy,2014,Comedy Drama Romance,7.4
567,Fingersmith,2005,Crime Drama Romance,7.9
568,Ghilli,2004,Action Romance,7.6
569,Ouran High School Host Club,2006,Animation Comedy Romance,8.2
570,Men at Work,2012,Comedy Drama Romance,7.1
571,Love 101,2020,Comedy Drama Romance,7.6
572,Red Sorghum,1988,Drama History Romance,7.4
573,The Man from Snowy River,1982,Adventure Drama Romance,7.3
574,In Search of a Midnight Kiss,2007,Comedy Romance,7.2
575,Mostly Martha,2001,Comedy Drama Romance,7.2
576,The Scent of Green Papaya,1993,Drama Music Romance,7.4
577,Worlds Apart,2015,Drama Romance,7.4
578,It's Okay to Not Be Okay,2020,Comedy Drama Romance,8.8
579,Baran,2001,Drama Romance,7.8
580,Don't Move,2004,Drama Romance,7.1
581,My Name Is Joe,1998,Drama Romance,7.5
582,Dash & Lily,2020,Comedy Drama Romance,7.5
583,A Brighter Summer Day,1991,Crime Drama Romance,8.4
584,Bent,1997,Drama History Romance,7.2
585,Hababam Sinifi Dokuz Doguruyor,1978,Comedy Drama Romance,7.3
586,The Music Man,2007,Drama Musical Romance,7.5
587,Out in the Dark,2012,Crime Drama Romance,7.5
588,Togetherness,2015,Comedy Drama Romance,7.5
589,Martin,1992,Comedy Drama Romance,7.4
590,"Faraway, So Close!",1993,Drama Fantasy Romance,7.3
591,Ju Dou,1990,Drama Romance,7.6
592,Khiladi,1992,Action Mystery Romance,7.2
593,Gregory's Girl,1980,Comedy Drama Romance,7.1
594,The Banishment,2007,Drama Romance,7.6
595,Samsara,2001,Adventure Drama Romance,7.8
596,Tipping the Velvet,2002,Drama Romance,7.7
597,Mifune,1999,Comedy Drama Romance,7.1
598,The Names of Love,2010,Comedy Drama Romance,7.2
599,Pauline at the Beach,1983,Comedy Drama Romance,7.4
600,Earth,1998,Drama Romance War,7.7
601,Still Standing,2002,Comedy Romance,7.5
602,Didn't Think of It,2005,Comedy Romance,7.4
603,I'm Here,2010,Drama Romance Sci-Fi,7.8
604,I Served the King of England,2006,Comedy Drama Romance,7.4
605,The Winslow Boy,1999,Drama Romance,7.3
606,Rehnaa Hai Terre Dil Mein,2001,Musical Romance,7.5
607,Dragons Forever,1988,Action Comedy Romance,7.2
608,Love Per Square Foot,2018,Comedy Romance,7.2
609,The Woman Next Door,1981,Drama Romance,7.3
610,The Piano Player,1999,Drama Romance,7.8
611,Summer of '42,1971,Drama Romance,7.2
612,Heirs,2013,Comedy Drama Romance,7.5
613,Love Letter,1995,Drama Romance,8.0
614,Bad Blood,1986,Crime Drama Romance,7.3
615,The Taming of the Scoundrel,1980,Comedy Romance,7.7
616,Reconstruction,2003,Drama Romance,7.4
617,Shirley Valentine,1989,Comedy Drama Romance,7.2
618,Sweet Magnolias,2020,Drama Romance,7.4
619,The Kennedys,2011,Drama History Romance,7.6
620,Frances,1982,Biography Drama Romance,7.4
621,Merlí,2015,Comedy Drama Romance,8.6
622,I Don't Want to Go Back Alone,2010,Drama Romance Short,8.3
623,Looking for Alaska,2019,Drama Romance,8.1
624,The Sky Is Pink,2019,Drama Romance,7.5
625,Sanditon,2019,Drama Romance,7.8
626,Summer,1986,Drama Romance,7.7
627,Dedh Ishqiya,2014,Comedy Drama Romance,7.1
628,Endless Love,2015,Drama Romance,7.1
629,Yossi & Jagger,2002,Drama Romance War,7.1
630,Qarib Qarib Single,2017,Comedy Romance,7.1
631,Torch Song Trilogy,1988,Comedy Drama Romance,7.7
632,A Werewolf Boy,2012,Fantasy Romance,7.3
633,A Fond Kiss,2004,Drama Romance,7.1
634,Barking at the Stars,1998,Comedy Romance,8.7
635,Brideshead Revisited,1981,Drama Romance,8.5
636,Army Wives,2007,Drama Romance War,7.2
637,High Fidelity,2020,Comedy Drama Romance,7.6
638,Tabu,2012,Drama Romance,7.4
639,A Summer's Tale,1996,Comedy Drama Romance,7.6
640,"Lacombe, Lucien",1974,Drama Romance War,7.7
641,Humorously Yours,2016,Comedy Drama Romance,8.6
642,Death Comes to Pemberley,2013,Drama Mystery Romance,7.1
643,Undertow,2009,Drama Fantasy Romance,7.7
644,Lark Rise to Candleford,2008,Drama Romance,8.1
645,Emily Owens M.D.,2012,Comedy Drama Romance,7.5
646,Chloe in the Afternoon,1972,Comedy Drama Romance,7.7
647,Twin Sisters,2002,Drama Romance War,7.4
648,Home for Christmas,2019,Comedy Drama Romance,7.6
649,Little England,2013,Drama Romance,7.8
650,Les Misérables,2018,Drama History Romance,7.8
651,Camera Buff,1979,Comedy Drama Romance,7.9
652,Take My Eyes,2003,Adventure Drama Romance,7.4
653,King of Comedy,1999,Comedy Drama Romance,7.3
654,Love Life,2020,Comedy Romance,7.5
655,Proof,1991,Drama Romance,7.2
656,The Man Who Loved Women,1977,Comedy Drama Romance,7.4
657,Love for Rent,2015,Comedy Romance,7.1
658,Love on the Run,1979,Comedy Drama Romance,7.1
659,Ariel,1988,Comedy Crime Romance,7.5
660,Aimee & Jaguar,1999,Biography Drama Romance,7.2
661,Harrison's Flowers,2000,Drama Romance War,7.1
662,Burnt Money,2000,Crime Drama Romance,7.2
663,Popular,1999,Comedy Drama Romance,7.3
664,Silent Light,2007,Drama Romance,7.2
665,The Count of Monte Cristo,1998,Adventure Drama Romance,7.9
666,Eyes Wide Open,2009,Drama Romance,7.3
667,W,2016,Drama Fantasy Romance,8.1
668,"Love, Victor",2020,Comedy Drama Romance,8.1
669,Monsieur Hire,1989,Crime Drama Romance,7.6
670,The Emperor and the Assassin,1998,Drama History Romance,7.2
671,Beloved,1991,Drama Musical Romance,7.2
672,Leto,2018,Biography Music Romance,7.3
673,The Glass Agency,1998,Action Drama Romance,7.9
674,The Hammer,2007,Comedy Romance Sport,7.2
675,Lilting,2014,Drama Romance,7.2
676,Deiji,2006,Drama Romance,7.5
677,Soap,1977,Comedy Drama Romance,8.1
678,Sekerpare,1983,Comedy History Romance,8.0
679,Sirens,2014,Comedy Family Romance,7.8
680,I Hired a Contract Killer,1990,Comedy Drama Romance,7.2
681,Lisbela and the Prisoner,2003,Comedy Romance,7.5
682,Pelli Choopulu,2016,Comedy Drama Romance,8.2
683,Tess of the D'Urbervilles,2008,Drama Romance,7.7
684,303,2018,Comedy Drama Romance,7.5
685,Fire,1996,Drama Romance,7.2
686,Flirting,1991,Drama Romance,7.2
687,The King: Eternal Monarch,2020,Fantasy Mystery Romance,8.3
688,Do You Remember Dolly Bell?,1981,Comedy Drama Romance,7.7
689,The Horseman on the Roof,1995,Adventure Drama Romance,7.1
690,The Waltons,1972,Drama Family Romance,7.6
691,Twelfth Night,1996,Comedy Drama Romance,7.2
692,Cherry Blossoms,2008,Drama Romance,7.6
693,"Same Time, Next Year",1978,Comedy Drama Romance,7.2
694,Being 17,2016,Drama Romance,7.1
695,Chasing Life,2014,Drama Family Romance,7.8
696,Failan,2001,Drama Romance,7.6
697,Dark Blue World,2001,Action Drama Romance,7.2
698,Dear Comrade,2019,Action Drama Romance,7.3
699,Mixology,2013,Comedy Romance,7.3
700,Birdsong,2012,Drama History Romance,7.4
701,Coming Home,2014,Drama Romance,7.2
702,My First Mister,2001,Comedy Drama Romance,7.1
703,What's Wrong with Secretary Kim,2018,Comedy Mystery Romance,8.1
704,The Bubble,2006,Comedy Drama Romance,7.3
705,The Beauty Inside,2015,Drama Romance,7.4
706,À Nos Amours,1983,Drama Romance,7.3
707,We Are Travelers on the Path of Love,1993,Comedy Drama Romance,7.4
708,Strawberry and Chocolate,1993,Comedy Drama Romance,7.4
709,Mutlu Ol Yeter,2015,Comedy Drama Romance,8.4
710,The Widow of Saint-Pierre,2000,Drama History Romance,7.1
711,A Little Romance,1979,Adventure Comedy Romance,7.5
712,Empire Falls,2005,Drama Romance,7.3
713,Tito and Me,1992,Comedy Drama Romance,8.0
714,My Little Bride,2004,Comedy Drama Romance,7.1
715,Longtime Companion,1989,Drama Romance,7.6
716,Lola,1981,Drama Romance,7.5
717,Raising Victor Vargas,2002,Drama Romance,7.2
718,An Affair of Love,1999,Drama Romance,7.1
719,The Forsyte Saga,2002,Drama Romance,8.1
720,Fox and His Friends,1975,Crime Drama Romance,7.7
721,Itaewon Class,2020,Drama Romance,8.2
722,Arya,2004,Action Drama Romance,7.8
723,Men in Trees,2006,Comedy Drama Romance,7.2
724,Alai Payuthey,2000,Drama Musical Romance,8.3
725,Legend of the Blue Sea,2016,Comedy Fantasy Romance,8.1
726,A Scene at the Sea,1991,Comedy Drama Romance,7.5
727,Elvis and Anabelle,2007,Drama Romance,7.2
728,Last Tango in Halifax,2012,Comedy Drama Romance,8.3
729,Tropical Malady,2004,Drama Fantasy Romance,7.2
730,Damnation,1988,Crime Drama Romance,7.8
731,The Go-Between,1971,Drama Romance,7.3
732,A New Leaf,1971,Comedy Romance,7.4
733,Mon oncle d'Amérique,1980,Comedy Drama Romance,7.8
734,La Vie de Bohème,1992,Comedy Drama Romance,7.7
735,Velvet,2013,Adventure Drama Romance,8.1
736,"Comrades, Almost a Love Story",1996,Drama Romance,8.1
737,The Mother and the Whore,1973,Drama Romance,8.0
738,"North & South: Book 2, Love & War",1986,Drama History Romance,8.1
739,A Millionaire's First Love,2006,Comedy Drama Romance,7.3
740,Ask Laftan Anlamaz,2016,Comedy Romance,7.5
741,Center of My World,2016,Drama Romance,7.2
742,Mother Night,1996,Drama Romance War,7.1
743,Pimp,2018,Crime Drama Romance,7.7
744,The Red Colored Grey Truck,2004,Adventure Comedy Romance,7.4
745,Dinner Rush,2000,Crime Drama Romance,7.3
746,The Follow,2001,Action Mystery Romance,7.3
747,Doctor Zhivago,2002,Drama Romance,7.4
748,The Elusive Summer of '68,1984,Comedy Drama Romance,8.6
749,Maid Sama!,2010,Animation Comedy Romance,8.0
750,OK Kanmani,2015,Romance,7.4
751,Two English Girls,1971,Drama Romance,7.3
752,McLeod's Daughters,2001,Drama Romance Western,7.2
753,The Unbelievable Truth,1989,Comedy Drama Romance,7.3
754,Pee Mak,2013,Comedy Horror Romance,7.3
755,The Star Maker,1995,Drama Romance,7.4
756,Shadows in Paradise,1986,Comedy Drama Romance,7.5
757,City Hunter,2011,Action Romance Thriller,8.2
758,Vinnaithaandi Varuvaayaa,2010,Drama Romance,8.0
759,Wild Hearts Can't Be Broken,1991,Drama Family Romance,7.3
760,Erkenci Kus,2018,Comedy Romance,7.3
761,Pinocchio,2014,Drama Romance,8.1
762,South of Nowhere,2005,Drama Romance,7.9
763,Germinal,1993,Drama Romance,7.1
764,Eyewitness,2016,Crime Mystery Romance,7.7
765,My Boys,2006,Comedy Romance,7.3
766,No Tomorrow,2016,Comedy Drama Romance,7.2
767,An Unmarried Woman,1978,Comedy Drama Romance,7.1
768,The Geographer Drank His Globe Away,2013,Adventure Drama Romance,7.3
769,Black and White Love,2017,Action Drama Romance,8.1
770,A Little Thing Called Love,2010,Comedy Romance,7.6
771,Kitchen Confidential,2005,Comedy Romance,8.1
772,Millennium Mambo,2001,Drama Romance,7.1
773,Ennu Ninte Moideen,2015,Biography Drama Romance,8.0
774,Fleming,2014,Biography Drama Romance,7.3
775,What Time Is It There?,2001,Drama Romance,7.3
776,Ohm Shanthi Oshaana,2014,Comedy Romance,7.7
777,The Class,2006,Comedy Romance,7.7
778,Holocaust,1978,Drama History Romance,8.0
779,Heartstone,2016,Drama Romance,7.4
780,El Sur,1983,Drama Romance,7.9
781,The Company,2007,Drama History Romance,7.8
782,Weightlifting Fairy Kim Bok-Joo,2016,Comedy Romance,8.4
783,Our Times,2015,Comedy Romance,7.4
784,Autumn Tale,1998,Comedy Drama Romance,7.5
785,Hipsters,2008,Drama Musical Romance,7.1
786,Be with You,2004,Drama Fantasy Romance,7.9
787,Daniel Deronda,2002,Drama History Romance,7.2
788,Hawaii,2013,Drama Romance,7.2
789,Flirting Scholar,1993,Comedy Romance,7.6
790,Brides,2004,Drama Romance,7.6
791,Signs,2008,Romance Short,8.1
792,The First Grader,2010,Biography Drama Romance,7.4
793,Sadece Sen,2014,Action Drama Romance,7.3
794,For the Bible Tells Me So,2007,Documentary Romance,7.8
795,10 timer til Paradis,2012,Drama Romance,7.1
796,Vanya on 42nd Street,1994,Comedy Drama Romance,7.4
797,Winter Sleepers,1997,Drama Romance Thriller,7.1
798,Trilogy: The Weeping Meadow,2004,Drama History Romance,7.9
799,Balzac and the Little Chinese Seamstress,2002,Biography Drama Romance,7.2
800,For a Lost Soldier,1992,Drama Romance War,7.5
801,Raja Rani,2013,Comedy Drama Romance,7.6
802,The Mudge Boy,2003,Crime Drama Romance,7.1
803,Kannum Kannum Kollaiyadithaal,2020,Drama Romance Thriller,7.7
804,Howards End,2017,Drama Romance,7.3
805,October Road,2007,Comedy Drama Romance,7.4
806,Love & Anarchy,2020,Comedy Drama Romance,7.3
807,Suzhou River,2000,Drama Romance,7.4
808,Boy Meets Girl,2014,Comedy Drama Romance,7.1
809,3,2012,Drama Mystery Romance,7.2
810,Validation,2007,Comedy Romance Short,8.2
811,Little Things,2016,Comedy Romance,8.2
812,Cooley High,1975,Comedy Drama Romance,7.2
813,Valentin,2002,Comedy Drama Romance,7.6
814,ImMATURE,2019,Comedy Drama Romance,8.8
815,Big Eden,2000,Comedy Drama Romance,7.3
816,Firelight,1997,Drama Romance,7.2
817,Minnie and Moskowitz,1971,Comedy Drama Romance,7.3
818,The 1st Shop of Coffee Prince,2007,Comedy Drama Romance,8.2
819,Brave and Beautiful,2016,Crime Drama Romance,7.1
820,Love and Doves,1985,Comedy Romance,8.1
821,Guilty Crown,2011,Action Animation Romance,7.1
822,Feel Good,2020,Comedy Drama Romance,7.5
823,Simple Men,1992,Crime Drama Romance,7.2
824,Raincoat,2004,Drama Romance,7.6
825,Conversation Piece,1974,Drama Romance,7.5
826,The Happiest Day in the Life of Olli Maki,2016,Biography Drama Romance,7.2
827,No End,1985,Drama Romance,7.5
828,Inadequate People,2010,Comedy Drama Romance,7.4
829,The Cakemaker,2017,Drama Romance,7.2
830,Mr & Mme Adelman,2017,Comedy Drama Romance,7.3
831,Letters to Santa,2011,Comedy Romance,7.1
832,Ah Nerede,1975,Comedy Romance,7.6
833,Four Weddings and a Funeral,2019,Comedy Romance,7.2
834,Khushi,2001,Drama Romance,8.0
835,Kuch Rang Pyar Ke Aise Bhi,2016,Drama Romance,8.7
836,George Lucas in Love,1999,Comedy Romance Short,7.5
837,"Moscow, Belgium",2008,Comedy Drama Romance,7.2
838,Cold Feet,1997,Comedy Drama Romance,8.2
839,4 Moons,2014,Drama Romance,7.5
840,Story of Women,1988,Drama Romance,7.5
841,Love Jones,1997,Drama Romance,7.5
842,Love in Thoughts,2004,Drama Romance,7.1
843,Sugar Rush,2005,Drama Romance,7.7
844,Be With You,2018,Drama Fantasy Romance,7.7
845,Happy Times,2000,Comedy Drama Romance,7.4
846,In the Heat of the Sun,1994,Drama Romance,8.2
847,Hana and Alice,2004,Comedy Drama Romance,7.3
848,Good Trouble,2019,Comedy Drama Romance,7.5
849,The Night of the Shooting Stars,1982,Drama Fantasy Romance,7.4
850,A Frozen Flower,2008,Drama History Romance,7.1
851,As Time Goes By,1992,Comedy Romance,8.2
852,Inek Saban,1978,Comedy Family Romance,7.6
853,My Brilliant Career,1979,Biography Drama Romance,7.1
854,You Are Not Alone,1978,Drama Romance,7.1
855,Rak haeng Siam,2007,Drama Mystery Romance,7.8
856,Full Moon in Paris,1984,Comedy Drama Romance,7.5
857,Wounded Love,2016,Drama History Romance,8.2
858,Boyfriends and Girlfriends,1987,Comedy Drama Romance,7.6
859,Master i Margarita,2005,Drama Mystery Romance,7.5
860,Murari,2001,Drama Romance Thriller,7.8
861,Chhoti Si Baat,1976,Comedy Romance,8.3
862,Dia,2020,Drama Romance,8.2
863,Dokunmayin Sabanima,1979,Comedy Romance,7.3
864,The Warden,2019,Drama Mystery Romance,7.4
865,A Tale of Springtime,1990,Comedy Drama Romance,7.3
866,"Kill Me, Heal Me",2015,Comedy Drama Romance,8.3
867,The Trip,2002,Comedy Drama Romance,7.1
868,Kings & Queen,2004,Comedy Drama Romance,7.1
869,The Winds of War,1983,Drama Romance War,8.1
870,Sweet Land,2005,Drama Romance,7.1
871,Dear Ex,2018,Comedy Drama Romance,7.3
872,Earth,1996,Drama Romance,7.3
873,Love.net,2011,Drama Romance,7.4
874,Kaguya-sama: Love is War,2019,Animation Comedy Romance,8.3
875,Lili Marleen,1981,Drama Music Romance,7.1
876,Afonya,1975,Comedy Drama Romance,7.9
877,Being Mary Jane,2013,Drama Romance Thriller,7.5
878,Burning Love,2012,Comedy Romance,8.0
879,West Beirut,1998,Comedy Drama Romance,7.7
880,Naanum Rowdy Thaan,2015,Action Comedy Romance,7.3
881,Thattathin Marayathu,2012,Drama Musical Romance,7.4
882,Men in Hope,2011,Comedy Drama Romance,7.1
883,Courier,1986,Comedy Drama Romance,8.0
