,primaryTitle,startYear,genres,averageRating
884,Tales of the City,1993,Drama Mystery Romance,8.3
885,Thoovanathumbikal,1987,Drama Musical Romance,8.6
886,What About Brian,2006,Comedy Drama Romance,7.1
887,Cows,1992,Drama Mystery Romance,7.1
888,"My Tomorrow, Your Yesterday",2016,Drama Fantasy Romance,7.5
889,Tell Me You Love Me,2007,Drama Romance,7.3
890,State of the Union,2019,Comedy Drama Romance,7.9
891,She Was Pretty,2015,Comedy Romance,7.7
892,Fidaa,2017,Drama Romance,7.5
893,Aquí no hay quien viva,2003,Comedy Romance,8.1
894,Fight Back to School,1991,Action Comedy Romance,7.1
895,The Aviator's Wife,1981,Comedy Drama Romance,7.6
896,Love and Honor,2006,Drama Romance,7.7
897,Last Cab to Darwin,2015,Comedy Drama Romance,7.2
898,He Died with a Felafel in His Hand,2001,Comedy Romance,7.1
899,The Dark Side of the Heart,1992,Comedy Drama Romance,7.6
900,Humsafar,2011,Drama Romance,9.0
901,That Most Important Thing: Love,1975,Drama Romance,7.3
902,Ödipussi,1988,Comedy Romance,7.5
903,Nana,2005,Drama Music Romance,7.1
904,Tilt,2010,Drama Romance,7.5
905,Time of Eve,2010,Animation Drama Romance,7.4
906,Tholi Prema,1998,Drama Romance,8.2
907,Sultan,1978,Comedy Family Romance,7.6
908,Zelary,2003,Drama Romance War,7.6
909,Leila,1997,Drama Family Romance,7.6
910,Alhambeura Goongjeonui Chooeok,2018,Drama Romance Sci-Fi,7.8
911,Classmates,2006,Drama Mystery Romance,8.1
912,Personal Taste,2010,Comedy Drama Romance,7.5
913,Blue Gate Crossing,2002,Drama Romance,7.3
914,Married,2014,Comedy Drama Romance,7.1
915,Something in the Rain,2018,Drama Romance,8.1
916,The K2,2016,Drama Romance Thriller,7.8
917,The Red Tent,2014,Drama History Romance,7.3
918,Christmas in August,1998,Drama Romance,7.6
919,Belgravia,2020,Drama Romance,7.5
920,Faithless,2000,Drama Romance,7.4
921,Elsa & Fred,2005,Comedy Drama Romance,7.6
922,The High Sun,2015,Drama Romance War,7.1
923,Mario,2018,Drama Romance Sport,7.4
924,Mouna Ragam,1986,Drama Romance,8.4
925,L'Innocente,1976,Drama Romance,7.4
926,Yatra,2018,Biography Drama Romance,8.2
927,Oh My Venus,2015,Comedy Drama Romance,7.9
928,Manmadhudu,2002,Comedy Romance,8.3
929,Architecture 101,2012,Drama Romance,7.2
930,A Cruel Romance,1984,Drama History Romance,8.0
931,The Pirates of Penzance,1983,Comedy Musical Romance,7.1
932,Dark Horse,2005,Comedy Drama Romance,7.2
933,The Keeper,2018,Biography Drama Romance,7.2
934,Pushpaka Vimana,1987,Comedy Romance,8.6
935,Bhale Bhale Magadivoi,2015,Comedy Romance,7.8
936,Roseanna's Grave,1997,Comedy Drama Romance,7.2
937,Meet the Patels,2014,Comedy Documentary Romance,7.2
938,"El mismo amor, la misma lluvia",1999,Comedy Drama Romance,7.3
939,Man in an Orange Shirt,2017,Drama Romance,8.0
940,Fight for My Way,2017,Comedy Romance,8.1
941,The Heart of the World,2000,Action Fantasy Romance,7.6
942,Mysteries of Lisbon,2010,Drama Mystery Romance,7.4
943,Late Marriage,2001,Comedy Drama Romance,7.1
944,Jane Eyre,1983,Drama Romance,8.0
945,Tum Bin...: Love Will Find a Way,2001,Drama Romance,7.5
946,Wildfire,2005,Drama Family Romance,7.5
947,You Fly,2009,Comedy Fantasy Romance,7.2
948,Sad Movie,2005,Comedy Drama Romance,7.3
949,Mayakkam Enna,2011,Drama Romance,7.6
950,Paruthiveeran,2007,Action Drama Romance,8.2
951,Life as We Know It,2004,Comedy Drama Romance,7.8
952,Map of the Human Heart,1992,Adventure Drama Romance,7.1
953,Moscow Square,2001,Comedy Drama Romance,7.8
954,Mr Perfect,2011,Drama Romance,7.1
955,The Assault,1986,Drama History Romance,7.2
956,"It's Okay, That's Love",2014,Comedy Drama Romance,8.3
957,Crying Out Love in the Center of the World,2004,Drama Romance,7.2
958,Kurt Seyit ve Sura,2014,Drama History Romance,7.1
959,Zindagi Gulzar Hai,2012,Romance,8.9
960,Summer Palace,2006,Drama Romance,7.1
961,Tatar Ramazan,1990,Drama Romance,8.0
962,Majili,2019,Drama Romance,7.2
963,Dark Eyes,1987,Comedy Drama Romance,7.4
964,Godfather,1991,Comedy Drama Romance,8.6
965,The Best Intentions,1992,Biography Drama Romance,7.8
966,Full House,2004,Comedy Romance,7.9
967,The Crimson Petal and the White,2011,Drama Romance,7.6
968,Sadma,1983,Romance,8.4
969,Heavenly Forest,2006,Drama Romance,7.5
970,Angrej,2015,Romance,8.5
971,Carmen,1983,Drama Music Romance,7.6
972,Five Fingers of Death,1972,Action Drama Romance,7.1
973,Dilan 1990,2018,Drama Romance,7.3
974,The Beautiful Risk,2013,Drama Romance,7.7
975,What the Day Owes the Night,2012,Drama Romance,7.8
976,Love Me No More,2008,Drama Romance,7.1
977,"Take Care of Your Scarf, Tatiana",1994,Comedy Romance,7.3
978,A Railway Station for Two,1983,Drama Romance,7.9
979,April Story,1998,Drama Romance,7.1
980,You Knock on My Door,2020,Comedy Romance,7.8
981,Maryan,2013,Adventure Drama Romance,7.1
982,A Man from Boulevard des Capucines,1987,Comedy Musical Romance,7.8
983,Mungaru Male,2006,Comedy Music Romance,8.3
984,Midaq Alley,1995,Drama Romance,7.4
985,Autumn Marathon,1979,Comedy Drama Romance,7.9
986,Cheese in the Trap,2016,Comedy Romance,7.4
987,Broken But Beautiful,2018,Drama Romance,9.0
988,Boys Over Flowers,2005,Comedy Drama Romance,8.1
989,Arranged,2007,Comedy Drama Romance,7.3
990,Hemlock Society,2012,Comedy Drama Romance,7.4
991,May Fools,1990,Comedy Romance,7.3
992,Remember Darling,2006,Drama History Romance,7.7
993,I'm Not a Robot,2017,Comedy Romance Sci-Fi,8.0
994,Malliswari,2004,Comedy Romance,7.8
995,The Tribe,1999,Drama Romance Sci-Fi,7.6
996,Nuvvostanante Nenoddantana,2005,Romance,7.7
997,Amen,2013,Drama Musical Romance,7.8
998,Mischievous Kiss,2010,Comedy Romance,7.1
999,My Little Monster,2012,Animation Comedy Romance,7.3
1000,The Way We Live Now,2001,Drama Romance,7.6
1001,Ye Maaya Chesave,2010,Romance,7.7
1002,Le péril jeune,1994,Comedy Drama Romance,7.2
1003,Cheap Smokes,2000,Comedy Romance,7.5
1004,Under the Hawthorn Tree,2010,Drama Romance,7.1
1005,Sagara Sangamam,1983,Drama Musical Romance,8.8
1006,Us and Them,2018,Drama Romance,7.4
1007,Eisai to tairi mou,2001,Comedy Romance,8.4
1008,Hear Me,2009,Drama Romance,7.5
1009,It's My Party,1996,Drama Romance,7.2
1010,Haasil,2003,Crime Drama Romance,7.6
1011,Parting Glances,1986,Drama Music Romance,7.1
1012,I Dream in Another Language,2017,Drama Romance,7.4
1013,Waterloo Road,2006,Drama Romance,7.2
1014,Suspicious Partner,2017,Comedy Crime Romance,7.9
1015,Girls from Ipanema,2019,Drama Romance,7.9
1016,Love on the Spectrum,2019,Documentary Reality-TV Romance,8.5
1017,Hello Stranger,2010,Comedy Romance,7.5
1018,The River,1997,Drama Romance,7.3
1019,Good Morning Call,2016,Comedy Romance,7.7
1020,Smiling Fish & Goat on Fire,1999,Comedy Romance,7.7
1021,The Adventures of Sherlock Holmes and Dr. Watson: The Treasures of Agra,1983,Crime Mystery Romance,8.4
1022,Silence: The Musical,1996,Drama Musical Romance,7.5
1023,Meteor Garden,2018,Drama Romance,8.1
1024,House of Fools,2002,Drama Music Romance,7.1
1025,Ne Olacak Simdi,1979,Comedy Romance,7.6
1026,Daruchini Dwip,2007,Comedy Drama Romance,7.8
1027,Romance Is a Bonus Book,2019,Romance,8.1
1028,Alcoholic,1984,Comedy Drama Romance,7.4
1029,Youth,2017,Drama Romance War,7.1
1030,Stutterer,2015,Drama Romance Short,7.7
1031,Degrassi High,1987,Drama Family Romance,8.1
1032,Oh Olsun,1973,Comedy Family Romance,7.2
1033,Iss Pyaar Ko Kya Naam Doon,2011,Drama Romance,7.5
1034,Melody,1971,Comedy Drama Romance,7.6
1035,Love & Anarchy,1973,Comedy Drama Romance,7.8
1036,Tuvalu,1999,Comedy Drama Romance,7.4
1037,Darling,2010,Comedy Drama Romance,7.3
1038,Kaos,1984,Comedy Drama Romance,7.9
1039,TRUE,2004,Drama Romance Short,8.0
1040,Conqueror of Destiny,1978,Drama Romance,7.5
1041,Once and Again,1999,Drama Family Romance,7.8
1042,The Clone,2001,Drama Romance Sci-Fi,8.1
1043,Monarch of the Glen,2000,Comedy Drama Romance,7.7
1044,Kadhalum Kadanthu Pogum,2016,Comedy Drama Romance,7.3
1045,Zappa,1983,Comedy Drama Romance,7.3
1046,Lamhe,1991,Drama Musical Romance,7.4
1047,Kandukondain Kandukondain,2000,Drama Romance,7.6
1048,My Girl and I,2005,Drama Romance,7.2
1049,Five Dances,2013,Drama Music Romance,7.1
1050,Ayalum Njanum Thammil...,2012,Drama Family Romance,8.0
1051,César and Rosalie,1972,Drama Romance,7.4
1052,Series of Events,1981,Drama Family Romance,7.3
1053,What's Up with Love?,2002,Drama Romance,7.8
1054,Zenne Dancer,2011,Biography Drama Romance,7.2
1055,Tatli Dillim,1972,Comedy Romance,7.2
1056,Ninnu Kori,2017,Comedy Romance,7.5
1057,Ala Modalaindi,2011,Comedy Drama Romance,7.7
1058,The Hows of Us,2018,Drama Romance,7.3
1059,Parugu,2008,Action Romance,7.1
1060,Cirkus Columbia,2010,Comedy Drama Romance,7.2
1061,Guna,1991,Drama Romance,8.2
1062,The Quack,1982,Drama Romance,7.8
1063,Sulemani Keeda,2014,Comedy Romance,7.1
1064,Hepta: The Last Lecture,2016,Drama Romance,7.6
1065,"Yo soy Betty, la fea",1999,Comedy Drama Romance,8.1
1066,My Girlfriend Is a Gumiho,2010,Comedy Fantasy Romance,7.8
1067,Camp,2013,Comedy Drama Romance,7.3
1068,Crazy Love,2007,Documentary Romance,7.1
1069,Twenty Four Seven,1997,Comedy Drama Romance,7.1
1070,Promise at Dawn,2017,Biography Drama Romance,7.2
1071,Cinderella and the Four Knights,2016,Comedy Romance,7.3
1072,Laila Majnu,2018,Drama Romance,7.7
1073,"Say ""I Love You""",2012,Animation Drama Romance,7.4
1074,Hit the Floor,2013,Drama Romance,7.1
1075,Monthly Girls' Nozaki-kun,2014,Animation Comedy Romance,7.7
1076,Middle Class Melodies,2020,Comedy Drama Romance,7.7
1077,The Great Journey,2004,Drama Romance,7.2
1078,The Lacemaker,1977,Drama Romance,7.6
1079,Because This Is My First Life,2017,Comedy Drama Romance,8.1
1080,The Deluge,1974,Adventure History Romance,7.7
1081,From Me to You,2010,Drama Romance,7.1
1082,Jatt & Juliet,2012,Comedy Romance,7.5
1083,You Go to My Head,2017,Drama Mystery Romance,7.8
1084,Moondram Pirai,1982,Drama Romance,8.6
1085,Actor in Law,2016,Comedy Drama Romance,7.7
1086,The Devil's Whore,2008,Drama History Romance,7.1
1087,Çalikusu,2013,Drama History Romance,7.4
1088,The Wolf,2019,History Romance War,8.9
1089,More Than Blue,2009,Drama Romance,7.6
1090,Prime Suspect 5: Errors of Judgement,1996,Crime Mystery Romance,7.9
1091,Nisekoi: False Love,2014,Animation Comedy Romance,7.2
1092,Final Cut: Ladies and Gentlemen,2012,Comedy Drama Romance,8.1
1093,Dream High,2011,Comedy Music Romance,7.6
1094,The Danish Poet,2006,Animation Romance Short,7.5
1095,Dust in the Wind,1986,Drama Romance,7.6
1096,Heart Attack,2015,Comedy Drama Romance,7.7
1097,Love in a Puff,2010,Comedy Drama Romance,7.2
1098,Love Mocktail,2020,Drama Romance,8.3
1099,Sethu,1999,Action Drama Romance,8.1
1100,Deadly Circuit,1983,Crime Mystery Romance,7.1
1101,One-Minute Time Machine,2014,Comedy Romance Sci-Fi,7.7
1102,Gitanjali,1989,Drama Romance,8.2
1103,Mumon: The Land of Stealth,2017,Action Romance,7.1
1104,Kushi,2000,Comedy Drama Romance,7.4
1105,Princess Hours,2006,Comedy Romance,7.7
1106,Middlemarch,1994,Drama History Romance,7.4
1107,Chashme Buddoor,1981,Comedy Family Romance,8.0
1108,Tholiprema,2018,Romance,7.3
1109,Punjab Nahi Jaungi,2017,Comedy Romance,7.2
1110,The Last Post,2017,Drama History Romance,7.2
1111,Morning Changes Everything,2018,Drama Romance,9.0
1112,I Give My First Love to You,2009,Drama Romance,7.2
1113,The Japanese Wife,2010,Drama Romance,7.6
1114,Tuya's Marriage,2006,Drama Romance,7.2
1115,Googly,2013,Comedy Romance,7.4
1116,Mayaanadhi,2017,Drama Romance,7.8
1117,Surga Yang Tak Dirindukan,2015,Drama Romance,7.8
1118,Punjabi House,1998,Comedy Drama Romance,8.0
1119,Lovely Complex,2007,Animation Comedy Romance,8.0
1120,Qismat,2018,Drama Romance,8.4
1121,Thirtysomething,1987,Drama Romance,7.4
1122,Vaalee,1999,Romance Thriller,7.9
1123,Pride and Prejudice,1980,Comedy Drama Romance,7.3
1124,Srabon Megher Din,2000,Drama Romance,8.5
1125,The Buccaneers,1995,Adventure Drama Romance,7.1
1126,The Teacher's Diary,2014,Comedy Drama Romance,7.9
1127,Carmen & Lola,2018,Adventure Drama Romance,7.1
1128,Jack & Bobby,2004,Drama Romance Sci-Fi,8.0
1129,Madrasapattinam,2010,Drama History Romance,7.8
1130,The Suspended Step of the Stork,1991,Drama Romance,7.5
1131,Wild Angel,1998,Comedy Drama Romance,7.3
1132,Yalanci Yarim,1973,Comedy Romance,7.2
1133,Max and the Junkmen,1971,Crime Drama Romance,7.3
1134,7/G Rainbow Colony,2004,Drama Romance,7.8
1135,Four Nights of a Dreamer,1971,Drama Romance,7.4
1136,Lan Yu,2001,Drama Romance,7.1
1137,SuckSeed,2011,Comedy Music Romance,7.5
1138,"Lovely, Still",2008,Drama Romance,7.1
1139,Rooftop Prince,2012,Comedy Fantasy Romance,7.8
1140,...ing,2003,Drama Romance,7.2
1141,Names Engraved in Marble,2002,Drama Romance War,7.2
1142,1 Litre of Tears,2005,Drama Romance,8.8
1143,Karz,1980,Action Musical Romance,7.5
1144,Friends,2001,Comedy Drama Romance,7.5
1145,"Main, Meri Patni... Aur Woh!",2005,Comedy Drama Romance,7.3
1146,Eternal Summer,2006,Drama Romance,7.1
1147,Next Stop Paradise,1998,Crime Drama Romance,7.9
1148,Namukku Parkkan Munthiri Thoppukal,1986,Romance,8.4
1149,Standoff,2006,Crime Drama Romance,7.6
1150,Tune in for Love,2019,Drama Romance,7.1
1151,La usurpadora,1998,Drama Romance,7.8
1152,ATM: Er Rak Error,2012,Comedy Romance,7.1
1153,Soulmate,2016,Drama Romance,7.4
1154,Compagni di scuola,1988,Comedy Drama Romance,7.2
1155,One Day,2016,Drama Romance,7.7
1156,Unconscious,2004,Comedy Mystery Romance,7.2
1157,Any Human Heart,2010,Drama Romance,7.9
1158,Orange,2016,Animation Drama Romance,7.6
1159,The Reverse,2009,Comedy Drama Romance,7.1
1160,The Family,1987,Drama Romance,7.4
1161,Coldd Lassi Aur Chicken Masala,2019,Romance,8.3
1162,Arn,2010,Action Drama Romance,7.4
1163,"Two Cars, One Night",2003,Drama Romance Short,7.3
1164,Border Café,2005,Drama Romance,7.3
1165,Remembrance,2011,Drama Romance War,7.2
1166,Bojhena Shey Bojhena,2012,Comedy Drama Romance,7.6
1167,The Farewell Party,2014,Comedy Drama Romance,7.1
1168,Krishna Gaadi Veera Prema Gaadha,2016,Action Comedy Romance,7.5
1169,Let Me Eat Your Pancreas,2017,Drama Romance,7.1
1170,The Graduates,1986,Comedy Romance,8.0
1171,Four Adventures of Reinette and Mirabelle,1987,Comedy Drama Romance,7.7
1172,Kuzgun,2019,Action Drama Romance,7.7
1173,Pasión de Gavilanes,2003,Drama Romance,7.9
1174,Kappela,2020,Comedy Romance,7.6
1175,Dyo xenoi,1997,Comedy Romance,7.9
1176,Simple Agi Ondh Love Story,2013,Comedy Romance,8.0
1177,The Year My Voice Broke,1987,Drama Romance,7.4
1178,Sankarabharanam,1980,Drama Musical Romance,8.7
1179,Start-Up,2020,Comedy Drama Romance,8.3
1180,My Straight Son,2012,Drama Romance,7.5
1181,Tutankhamun,2016,Drama History Romance,7.2
1182,The Blonde One,2019,Drama Romance,7.4
1183,Jhankaar Beats,2003,Comedy Music Romance,7.2
1184,Fittrat,2019,Drama Romance,8.5
1185,Off Beat,2004,Drama Romance,7.1
1186,Ditto,2000,Drama Romance Sci-Fi,7.1
1187,Sometimes,1976,Drama Romance,7.4
1188,Thanneermathan Dinangal,2019,Comedy Romance,8.0
1189,Emma's Bliss,2006,Drama Romance,7.2
1190,The Jewel in the Crown,1984,Drama History Romance,8.3
1191,Csinibaba,1997,Comedy Musical Romance,7.4
1192,To the Manor Born,1979,Comedy Romance,7.4
1193,Skam France,2018,Drama Romance,8.3
1194,Moonlight Drawn by Clouds,2016,Comedy Drama Romance,7.9
1195,Key of Life,2012,Comedy Crime Romance,7.4
1196,My Favorite Season,1993,Drama Romance,7.1
1197,Siberiade,1979,Drama History Romance,8.0
1198,Ishq,2019,Drama Romance Thriller,7.5
1199,Love Alarm,2019,Comedy Drama Romance,7.4
1200,Kit Kat,1991,Comedy Drama Romance,8.2
1201,The Collection,2016,Drama History Romance,7.1
1202,Habibie & Ainun,2012,Biography Drama Romance,7.6
1203,School Rumble,2004,Animation Comedy Romance,7.8
1204,Pyarey Afzal,2013,Drama Romance,9.1
1205,Thulladha Manamum Thullum,1999,Drama Romance,7.7
1206,War and Peace,2007,Drama History Romance,7.2
1207,Living Legends,2014,Comedy Drama Romance,7.4
1208,What's the Time in Your World?,2014,Drama Romance,7.1
1209,Grandizer,1975,Action Animation Romance,8.3
1210,Paragraph 175,2000,Documentary History Romance,7.7
1211,My ID Is Gangnam Beauty,2018,Comedy Romance,7.5
1212,Kendasampige,2015,Romance Thriller,8.4
1213,Claudine,1974,Comedy Drama Romance,7.2
1214,Chennai 600028,2007,Comedy Romance Sport,7.9
1215,My Girl,2003,Comedy Romance,8.0
1216,Confess,2017,Drama Romance,7.9
1217,Love Me,2019,Comedy Drama Romance,8.0
1218,Vellimoonga,2014,Comedy Romance,7.5
1219,Accel World,2012,Action Animation Romance,7.2
1220,Lover's Concerto,2002,Drama Romance,7.1
1221,All's Well Ends Well,1992,Comedy Romance,7.3
1222,Last Resort,2000,Drama Romance,7.2
1223,Brazil Avenue,2012,Drama Mystery Romance,8.2
1224,Dark Shadows,1991,Drama Horror Romance,7.5
1225,The Treasure of Swamp Castle,1985,Adventure Animation Romance,7.9
1226,Doctors,2016,Comedy Drama Romance,7.7
1227,The Stroll,2003,Drama Romance,7.3
1228,Nodame Cantabile,2006,Comedy Drama Romance,8.3
1229,Kadhalan,1994,Action Drama Romance,7.2
1230,Citizen Dog,2004,Comedy Fantasy Romance,7.3
1231,5 cm,2012,Adventure Drama Romance,7.2
1232,Wolf Girl and Black Prince,2014,Animation Comedy Romance,7.1
1233,Mann Mayal,2016,Drama Romance,8.0
1234,"Chaos, This Is",2007,Crime Drama Romance,7.1
1235,Echoes of the Rainbow,2010,Comedy Drama Romance,7.4
1236,Jatt & Juliet 2,2013,Comedy Romance,7.4
1237,Friend Zone,2019,Comedy Romance,7.2
1238,Haereul poomeun dal,2012,Drama Fantasy Romance,8.0
1239,Indian Summer,1972,Drama Romance,7.3
1240,Salt n' Pepper,2011,Comedy Drama Romance,7.4
1241,Hello Guru Prema Kosame,2018,Comedy Romance,7.1
1242,You Are My Destiny,2014,Comedy Romance,7.9
1243,Death of a Shadow,2012,Drama Fantasy Romance,7.2
1244,Center Stage,1991,Biography Drama Romance,7.5
1245,Uncontrollably Fond,2016,Drama Romance,7.8
1246,Doctor Stranger,2014,Action Drama Romance,7.4
1247,My Secret Romance,2017,Comedy Romance,7.2
1248,It Can't Be!,1975,Comedy Musical Romance,7.7
1249,Gentleman,2016,Mystery Romance Thriller,7.1
1250,The Grey Fox,1982,Biography Drama Romance,7.4
1251,Mr. And Mrs. Ramchari,2014,Action Drama Romance,7.3
1252,Yaaradi Nee Mohini,2008,Drama Romance,7.2
1253,The Flower of Evil,2020,Mystery Romance Thriller,8.7
1254,Shala,2011,Romance,8.2
1255,God of Love,2010,Comedy Fantasy Romance,7.6
1256,What's Up with Love 2,2016,Drama Romance,7.4
1257,Québec-Montréal,2002,Comedy Romance,7.3
1258,Bobby,1973,Comedy Musical Romance,7.1
1259,Hello!,2017,Action Romance,7.2
1260,Rooster's Breakfast,2007,Drama Romance,7.5
1261,Premeditated Murder,1995,Drama Romance,8.1
1262,Dates,2013,Drama Romance,7.5
1263,Berusaiyu no bara,1979,Animation Drama Romance,8.3
1264,Bangkok Traffic (Love) Story,2009,Comedy Romance,7.2
1265,Respect for Love,1997,Drama Romance,7.6
1266,The Hornet,1998,Crime Drama Romance,7.2
1267,Officers,1971,Drama Romance War,7.7
1268,Classroom of the Elite,2017,Animation Comedy Romance,7.4
1269,The Young Riders,1989,Romance Western,7.9
1270,Diamond Necklace,2012,Drama Romance,7.2
1271,Deep Crimson,1996,Crime Drama Romance,7.3
1272,Lily and Jim,1997,Animation Comedy Romance,7.3
1273,Ishq,2012,Comedy Romance,7.3
1274,Iris,2009,Action Mystery Romance,7.9
1275,Rendezvous in Paris,1995,Comedy Romance,7.4
1276,To the Beautiful You,2012,Comedy Romance,7.2
1277,The Line of Beauty,2006,Drama Romance,7.4
1278,More Tales of the City,1998,Drama Romance,7.9
1279,Annayum Rasoolum,2013,Romance,7.4
1280,Badri,2000,Comedy Drama Romance,7.2
1281,I'll Wait for the Next One...,2002,Comedy Romance Short,7.3
1282,Al Kabeer,2010,Comedy Romance,8.2
1283,Mozhi,2007,Comedy Musical Romance,8.0
1284,Two Family House,2000,Comedy Drama Romance,7.1
1285,"Three Lives Three Worlds, Ten Miles of Peach Blossom",2017,Drama Fantasy Romance,8.3
1286,Blood Wedding,1981,Drama Music Romance,7.6
1287,Mumbai Pune Mumbai,2010,Drama Romance,8.0
1288,A West Texas Children's Story,2007,Drama Romance,7.5
1289,The Beauty Inside,2012,Comedy Drama Romance,8.2
1290,Mounam Pesiyadhe,2002,Drama Romance,7.6
1291,Age of Youth,2016,Comedy Drama Romance,8.3
1292,My Lovely Sam-Soon,2005,Comedy Drama Romance,8.0
1293,The Officer's Ward,2001,Drama Romance War,7.4
1294,Samaya obayatelnaya i privlekatelnaya,1985,Comedy Romance,7.5
1295,Wait for Me and I Will Not Come,2009,Drama Romance,7.1
1296,West Bank Story,2005,Comedy Musical Romance,7.3
1297,Bamfaad,2020,Romance,7.3
1298,Desiderium,1978,Drama Romance,8.3
1299,Love O2O,2016,Drama Romance,8.0
1300,Je ne suis pas là pour être aimé,2005,Drama Romance,7.1
1301,Midnight Sun,2006,Drama Music Romance,7.2
1302,Reply 1997,2012,Comedy Drama Romance,8.1
1303,Her Private Life,2019,Comedy Romance,7.7
1304,Kumari 21F,2015,Drama Romance,7.7
1305,An Autumn's Tale,1987,Drama Romance,7.7
1306,Shéhérazade,2018,Drama Romance Thriller,7.1
1307,Chuye Dile Mon,2015,Romance,7.2
1308,The Most Beautiful Girl in the World,2018,Comedy Music Romance,7.2
1309,Chameli Ki Shaadi,1986,Comedy Drama Romance,7.5
1310,Hello! How Are You?,2010,Comedy Romance,7.3
1311,Inside Moves,1980,Comedy Drama Romance,7.2
1312,"Niagara, Niagara",1997,Drama Romance,7.1
1313,Amar Prem,1972,Drama Musical Romance,8.2
1314,If I Hadn't Met You,2018,Drama Fantasy Romance,7.7
1315,Destiny and Fate,1981,Action Musical Romance,7.1
1316,You've Fallen for Me,2011,Drama Music Romance,7.2
1317,"Josee, the Tiger and the Fish",2003,Drama Romance,7.4
1318,For Lovers Only,2011,Comedy Drama Romance,7.1
